postcode,zone
E1,2
E2,2
E3,2
E4,4
E5,2
E6,3
E7,3
E8,2
E9,2
E10,3
E11,3
E12,4
E13,3
E14,2
E15,3
E16,3
E17,3
E18,4
E20,3
EC1,1
EC2,1
EC3,1
EC4,1
N1,2
N2,3
N3,4
N4,3
N5,2
N6,3
N7,2
N8,3
N9,4
N10,3
N11,4
N12,4
N13,4
N14,4
N15,3
N16,2
N17,3
N18,4
N19,3
N20,4
N21,4
N22,3
NW1,2
NW2,3
NW3,2
NW4,4
NW5,2
NW6,2
NW7,4
NW8,2
NW9,4
NW10,3
NW11,3
SE1,1
SE2,4
SE3,3
SE4,3
SE5,2
SE6,3
SE7,3
SE8,2
SE9,4
SE10,3
SE11,1
SE12,3
SE13,3
SE14,2
SE15,2
SE16,2
SE17,2
SE18,4
SE19,3
SE20,4
SE21,3
SE22,3
SE23,3
SE24,2
SE25,4
SE26,3
SE27,3
SE28,4
SW1,1
SW2,3
SW3,1
SW4,2
SW5,1
SW6,2
SW7,1
SW8,2
SW9,2
SW10,2
SW11,2
SW12,3
SW13,3
SW14,3
SW15,3
SW16,3
SW17,3
SW18,3
SW19,3
SW20,4
W1,1
W2,1
W3,3
W4,3
W5,3
W6,2
W7,4
W8,1
W9,2
W10,2
W11,2
W12,2
W13,3
W14,2
WC1,1
WC2,1
